systematic	common	uniprot	seq_len
	OR4M2	Q8NGB6	313
	OR4E2	Q8NGC2	313
	OR8B3	Q8NGG8	313
	OR56A4	Q8NGH8	313
	OR51A4	Q8NGJ6	313
	OR51A2	Q8NGJ7	313
	OR5D18	Q8NGL1	313
	OR6M1	Q8NGM8	313
	OR1J4	Q8NGS1	313
	OR10K1	Q8NGX5	313
	OR10Z1	Q8NGY1	313
	OR4Q3	Q8NH05	313
	OR8B2	Q96RD0	313
	OR52E6	Q96RD3	313
	OR4M2B	A0A0X1KG70	313
	LRRC52	Q8N7C0	313
	KCNK6	Q9Y257	313
	OR1F1	O43749	312
	OR1D2	P34982	312
	MRGPRE	Q86SM8	312
	OR7D4	Q8NG98	312
	OR10C1	Q96KK4	312
	OR2T8	A6NH00	312
	OR2J2	O76002	312
	OR2C1	O95371	312
	OR2H2	O95918	312
	OR4L1	Q8NH43	312
	OR7D2	Q96RA2	312
	OR2J1	Q9GZK6	312
	OR51B5	Q9H339	312
	OR51B6	Q9H340	312
	TAS2R9	Q9NYW1	312
	OR52A1	Q9UKL2	312
	OR51B2	Q9Y5P1	312
	OR51C1	A0A3B3IT45	312
	OR2M5	A3KFT3	312
	OR6C74	A6NCV1	312
	OR6C68	A6NDL8	312
	OR6C70	A6NIJ9	312
	OR6C65	A6NJZ3	312
	OR6C75	A6NL08	312
	OR6C76	A6NM76	312
	OR4F21	O95013	312
	OR1D5	P58170	312
	OR2B8	P59922	312
	OR10K2	Q6IF99	312
	OR6B2	Q6IFH4	312
	OR8H3	Q8N146	312
	OR8H2	Q8N162	312
	OR2L13	Q8N349	312
	OR2L5	Q8NG80	312
	OR2M7	Q8NG81	312
	OR2M3	Q8NG83	312
	OR2L3	Q8NG85	312
	OR7G3	Q8NG95	312
	OR4F15	Q8NGB8	312
	OR4F6	Q8NGB9	312
	OR4K17	Q8NGC6	312
	OR52E4	Q8NGH9	312
	OR4P4	Q8NGL7	312
	OR13J1	Q8NGT2	312
	OR6N1	Q8NGY5	312
	OR2L8	Q8NGY9	312
	OR2T10	Q8NGZ9	312
	OR2L2	Q8NH16	312
	OR5J2	Q8NH18	312
	OR8K3	Q8NH51	312
	OR51A7	Q8NH64	312
	OR6X1	Q8NH79	312
	OR10D3	Q8NH80	312
	OR14C36	Q8NHC7	312
	OR1F2P	Q96R84	312
	OR6C1	Q96RD1	312
	OR51I2	Q9H344	312
	OR6C2	Q9NZP2	312
	OR4F3	Q6IEY1	312
	OR8G1	Q15617	311
	OR5AN1	Q8NGI8	311
	OR14I1	A6ND48	311
	OR2J3	O76001	311
	OR6B1	O95007	311
	OR8B8	Q15620	311
	OR7G1	Q8NGA0	311
	OR10G4	Q8NGN3	311
	OR5P3	Q8WZ94	311
	OR2A5	Q96R48	311
	VN1R3	Q9BXE9	311
	OR8D2	Q9GZM6	311
	OR5BS1	A0A2R8YED5	311
	OR10J4	P0C629	311
	OR1D4	P47884	311
	OR4K1	Q8NGD4	311
	OR8H1	Q8NGG4	311
	OR4D11	Q8NGI4	311
	OR4D10	Q8NGI6	311
	OR5L2	Q8NGL0	311
	OR5L1	Q8NGL2	311
	OR10G9	Q8NGN4	311
	OR10G8	Q8NGN5	311
	OR10G7	Q8NGN6	311
	OR5M8	Q8NGP6	311
	OR1L4	Q8NGR5	311
	OR1N1	Q8NGS0	311
	OR2Y1	Q8NGV0	311
	OR52J3	Q8NH60	311
	OR4S2	Q8NH73	311
	OR2M4	Q96R27	311
	OR6C3	Q9NZP0	311
	OR2A4	O95047	310
	OR2A25	A4D2G3	310
	OR5W2	Q8NH69	310
	OR5H14	A6NHG9	310
	OR8G3	P0DMU2	310
	OR4D1	Q15615	310
	OR4C11	Q6IEV9	310
	OR8I2	Q8N0Y5	310
	OR7A2P	Q8NGA2	310
	OR10G2	Q8NGC3	310
	OR4K14	Q8NGD5	310
	OR8B12	Q8NGG6	310
	OR4C16	Q8NGL9	310
	OR5M9	Q8NGP3	310
	OR5AR1	Q8NGP9	310
	OR9Q1	Q8NGQ5	310
	OR9A2	Q8NGT5	310
	OR2A12	Q8NGT7	310
	OR2A7	Q96R45	310
	OR2A14	Q96R47	310
	OR51B4	Q9Y5P0	310
	OR2A1	Q8NGT9	310
	OR10J5	Q8NHC4	309
	GPR35	Q9HC97	309
	TAS2R43	P59537	309
	TAS2R31	P59538	309
	TAS2R46	P59540	309
	TAS2R20	P59543	309
	TAS2R8	Q9NYW2	309
	OR1A2	Q9Y585	309
	OR4C46	A6NHA9	309
	OR5B21	A6NL26	309
	OR7A17	O14581	309
	OR7A10	O76100	309
	OR4A47	Q6IF82	309
	OR4S1	Q8NGB4	309
	OR6C4	Q8NGE1	309
	OR2AP1	Q8NGE2	309
	OR4B1	Q8NGF8	309
	OR10V1	Q8NGI7	309
	OR4C13	Q8NGP0	309
	OR1L8	Q8NGR8	309
	OR5H2	Q8NGV7	309
	OR2G3	Q8NGZ4	309
	OR8U1	Q8NH10	309
	OR4C6	Q8NH72	309
	OR5AK2	Q8NH90	309
	OR14A16	Q8NHC5	309
	OR5B2	Q96R09	309
	OR4C12	Q96R67	309
	OR8B4	Q96RC9	309
	OR5AC2	Q9NZP5	309
	OR1A1	Q9P1Q5	309
	OR8U9	P0C7N5	309
	TAS2R33	P0DSN6	309
	TAS2R36	P0DTE0	309
	CALHM5	Q8N5C1	309
	KCNK16	Q96T55	309
	OR2T6	Q8NHC8	308
	OR8D1	Q8WZ84	308
	OR2D2	Q9H210	308
	OR2T7	P0C7T2	308
	OR5H8	P0DN80	308
	OR9H1	Q6UXT6	308
	OR4N5	Q8IXE1	308
	OR13H1	Q8NG92	308
	OR52E1	Q8NGJ3	308
	OR6F1	Q8NGZ6	308
	OR5K1	Q8NHB7	308
	TAS2R10	Q9NYW0	307
	OR12D2	P58182	307
	OR5AC1	P0C628	307
	OR4D2	P58180	307
	TAS2R41	P59536	307
	OR4N2	Q8NGD1	307
	OR5M3	Q8NGP4	307
	OR13G1	Q8NGZ3	307
	OR8K5	Q8NH50	307
	UCP1	P25874	307
	KCNK7	Q9Y2U2	307
	OR4C45	A6NMZ5	306
	GPR141	Q7Z602	305
	OR9G1	Q8NH87	305
	OR4F17	Q8NGA8	305
	OR10W1	Q8NGF6	305
	OR4X1	Q8NH49	305
	OR4F4	Q96R69	305
	OR5M11	Q96RB7	305
	OR9G9	P0C7N8	305
	OR4F5	Q8NH21	305
	OR52A4P	A6NMU1	304
	OR8G2P	Q6IF36	304
	OR4K13	Q8NH42	304
	TAS2R2	Q50KZ9	303
	OR10A2	Q9H208	303
	TAS2R13	Q9NYV9	303
	OR4X2	Q8NGF9	303
	OR4C3	Q8NH37	302
	OR51H1	Q8NH63	302
	VN1R4	Q7Z5H5	301
	OR10AG1	Q8NH19	301
	ORAI1	Q96D31	301
	FFAR1	O14842	300
	TAS2R19	P59542	299
	TAS2R5	Q9NYW4	299
	TAS2R4	Q9NYW5	299
	TAS2R1	Q9NYW7	299
	TAS2R45	P59539	299
	TAS2R50	P59544	299
	OR4A4P	Q8NGN8	299
	TMEM38A	Q9H6F2	299
	OR52Z1P	P0C646	298
	OR10D4P	Q8NGN7	298
	OR5AK3P	Q8NH89	298
	LRRC55	Q6ZSA7	298
	MC2R	Q01718	297
	ORAI3	Q9BRQ5	295
	LRRC38	Q5VT99	294
	GNRHR2	Q96P88	292
	RGR	P47804	291
	TAS2R16	Q9NYV7	291
	TMEM38B	Q9NVV0	291
	NPY6RP	Q99463	290
	MRGPRG	Q86SM5	289
	KCNMB3	Q9NPA1	279
	OR10J6P	Q8NGY7	276
	CACNG7	P62955	275
	HVCN1	Q96D96	273
	GPR32P1	Q8NGA4	272
	KCNIP2	Q9NS61	270
	CACNG6	Q9BXT2	260
	KCNIP3	Q9Y2W7	256
	ORAI2	Q96SN7	254
	CLIC4	Q9Y696	253
	KCNIP4	Q6PIL6	250
	CLIC2	O15247	247
	TMEM109	Q9BVC6	243
	CLIC1	O00299	241
	TMCO1	Q9UM00	239
	CLIC3	O95833	236
	KCNMB2	Q9Y691	235
	KCNIP1	Q9NZI2	227
	CLDN17	P56750	224
	CACNG1	Q06432	222
	KCNE4	Q8WWG9	221
	SCN3B	Q9NY72	215
	KCNMB4	Q86W47	210
	CLDN4	O14493	209
	VN1R17P	Q8TDU5	208
	KCNMB1	Q16558	191
	TMEM37	Q8WXS4	190
	OR13C6P	Q8NH95	151
	KCNE1	P15382	129
	KCNE2	Q9Y6J6	123
	FXYD6P3	P58550	94
