acc	gene	source	pdb_id	resolution	method	path	note
Q86VZ1	P2RY8	pdb	9ECJ	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q86VZ1.pdb	converted_from_mmcif
Q86Y34	ADGRG3	pdb	7D77	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q86Y34.pdb	
Q8IWK6	ADGRA3	af2			predicted	product/target_screen/structures/raw/Q8IWK6.pdb	alphafold_db;AF-Q8IWK6-F1-model_v6.pdb
Q8IYL9	GPR65	pdb	9BHL	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8IYL9.pdb	
Q8IZ08	GPR135	af2			predicted	product/target_screen/structures/raw/Q8IZ08.pdb	alphafold_db;AF-Q8IZ08-F1-model_v6.pdb
Q8IZF2	ADGRF5	af2			predicted	product/target_screen/structures/raw/Q8IZF2.pdb	alphafold_db;AF-Q8IZF2-F1-model_v6.pdb
Q8IZF3	ADGRF4	af2			predicted	product/target_screen/structures/raw/Q8IZF3.pdb	alphafold_db;AF-Q8IZF3-F1-model_v6.pdb
Q8IZF4	ADGRG5	pdb	7EQ1	3.30	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8IZF4.pdb	
Q8IZF5	ADGRF3	af2			predicted	product/target_screen/structures/raw/Q8IZF5.pdb	alphafold_db;AF-Q8IZF5-F1-model_v6.pdb
Q8IZF6	ADGRG4	pdb	8B55	1.36	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q8IZF6.pdb	
Q8IZF7	ADGRF2P	af2			predicted	product/target_screen/structures/raw/Q8IZF7.pdb	alphafold_db;AF-Q8IZF7-F1-model_v6.pdb
Q8IZP9	ADGRG2	af2			predicted	product/target_screen/structures/raw/Q8IZP9.pdb	alphafold_db;AF-Q8IZP9-F1-model_v6.pdb
Q8N6U8	GPR161	pdb	8SMV	2.74	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8N6U8.pdb	
Q8NFJ5	GPRC5A	af2			predicted	product/target_screen/structures/raw/Q8NFJ5.pdb	alphafold_db;AF-Q8NFJ5-F1-model_v6.pdb
Q8NFJ6	PROKR2	af2			predicted	product/target_screen/structures/raw/Q8NFJ6.pdb	alphafold_db;AF-Q8NFJ6-F1-model_v6.pdb
Q8NFN8	GPR156	pdb	8YK0	2.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8NFN8.pdb	
Q8NG98	OR7D4	af2			predicted	product/target_screen/structures/raw/Q8NG98.pdb	alphafold_db;AF-Q8NG98-F1-model_v6.pdb
Q8NGC4	OR10G3	af2			predicted	product/target_screen/structures/raw/Q8NGC4.pdb	alphafold_db;AF-Q8NGC4-F1-model_v6.pdb
Q8NGI8	OR5AN1	af2			predicted	product/target_screen/structures/raw/Q8NGI8.pdb	alphafold_db;AF-Q8NGI8-F1-model_v6.pdb
Q8NHC4	OR10J5	af2			predicted	product/target_screen/structures/raw/Q8NHC4.pdb	alphafold_db;AF-Q8NHC4-F1-model_v6.pdb
Q8TDS4	HCAR2	pdb	8J6P	2.55	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8TDS4.pdb	
Q8TDS5	OXER1	af2			predicted	product/target_screen/structures/raw/Q8TDS5.pdb	alphafold_db;AF-Q8TDS5-F1-model_v6.pdb
Q8TDS7	MRGPRD	pdb	7Y15	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8TDS7.pdb	
Q8TDT2	GPR152	af2			predicted	product/target_screen/structures/raw/Q8TDT2.pdb	alphafold_db;AF-Q8TDT2-F1-model_v6.pdb
Q8TDU6	GPBAR1	pdb	9GYO	2.50	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8TDU6.pdb	
Q8TDV0	GPR151	pdb	9W3L	2.76	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8TDV0.pdb	
Q8TE23	TAS1R2	pdb	9NOU	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q8TE23.pdb	
Q8WXD0	RXFP2	pdb	2M96		SOLUTION NMR	product/target_screen/structures/raw/Q8WXD0.pdb	
Q8WXG9	ADGRV1	af2			predicted	product/target_screen/structures/raw/Q8WXG9.pdb	alphafold_db;AF-Q8WXG9-4-F1-model_v6.pdb
Q92633	LPAR1	pdb	7TD0	2.83	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q92633.pdb	
Q92847	GHSR	pdb	9UY3	2.52	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q92847.pdb	converted_from_mmcif
Q969F8	KISS1R	pdb	8XGO	2.68	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q969F8.pdb	
Q969N4	TAAR8	af2			predicted	product/target_screen/structures/raw/Q969N4.pdb	alphafold_db;AF-Q969N4-F1-model_v6.pdb
Q969V1	MCHR2	pdb	8WST	2.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q969V1.pdb	
Q96G91	P2RY11	af2			predicted	product/target_screen/structures/raw/Q96G91.pdb	alphafold_db;AF-Q96G91-F1-model_v6.pdb
Q96K78	ADGRG7	af2			predicted	product/target_screen/structures/raw/Q96K78.pdb	alphafold_db;AF-Q96K78-F1-model_v6.pdb
Q96KK4	OR10C1	af2			predicted	product/target_screen/structures/raw/Q96KK4.pdb	alphafold_db;AF-Q96KK4-F1-model_v6.pdb
Q96LA9	MRGPRX4	pdb	9V82	2.56	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96LA9.pdb	converted_from_mmcif
Q96LB1	MRGPRX2	pdb	7S8L	2.45	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96LB1.pdb	
Q96LB2	MRGPRX1	pdb	8JGF	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96LB2.pdb	
Q96P65	QRFPR	pdb	8WZ2	2.73	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96P65.pdb	
Q96P66	GPR101	pdb	8W8Q	2.89	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96P66.pdb	
Q96P68	OXGR1	pdb	9VUS	2.37	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96P68.pdb	
Q96PE1	ADGRA2	af2			predicted	product/target_screen/structures/raw/Q96PE1.pdb	alphafold_db;AF-Q96PE1-F1-model_v6.pdb
Q96RI0	F2RL3	pdb	2ZPK	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q96RI0.pdb	
Q96RI8	TAAR6	af2			predicted	product/target_screen/structures/raw/Q96RI8.pdb	alphafold_db;AF-Q96RI8-F1-model_v6.pdb
Q96RI9	TAAR9	af2			predicted	product/target_screen/structures/raw/Q96RI9.pdb	alphafold_db;AF-Q96RI9-F1-model_v6.pdb
Q96RJ0	TAAR1	pdb	8W88	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q96RJ0.pdb	
Q99500	S1PR3	pdb	9W0H	3.00	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q99500.pdb	converted_from_mmcif
Q99527	GPER1	pdb	8XOF	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q99527.pdb	converted_from_mmcif
Q99677	LPAR4	af2			predicted	product/target_screen/structures/raw/Q99677.pdb	alphafold_db;AF-Q99677-F1-model_v6.pdb
Q99678	GPR20	pdb	8HS2	3.08	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q99678.pdb	
Q99705	MCHR1	pdb	8WWK	2.61	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q99705.pdb	
Q99788	CMKLR1	pdb	7YKD	2.81	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q99788.pdb	
Q99835	SMO	pdb	4JKV	2.45	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q99835.pdb	
Q9BPV8	P2RY13	pdb	24XY	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9BPV8.pdb	
Q9BXA5	SUCNR1	pdb	8YKV	2.48	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9BXA5.pdb	converted_from_mmcif
Q9BXB1	LGR4	pdb	4QXE	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9BXB1.pdb	
Q9BXC0	HCAR1	pdb	8Z8B	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9BXC0.pdb	
Q9BXC1	GPR174	pdb	9XXT	2.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9BXC1.pdb	converted_from_mmcif
Q9BY15	ADGRE3	af2			predicted	product/target_screen/structures/raw/Q9BY15.pdb	alphafold_db;AF-Q9BY15-F1-model_v6.pdb
Q9BZJ7	GPR62	af2			predicted	product/target_screen/structures/raw/Q9BZJ7.pdb	alphafold_db;AF-Q9BZJ7-F1-model_v6.pdb
Q9BZJ8	GPR61	pdb	8TB7	2.94	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9BZJ8.pdb	
Q9GZN0	GPR88	pdb	7EJX	2.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9GZN0.pdb	
Q9GZQ4	NMUR2	pdb	7W55	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9GZQ4.pdb	
Q9GZQ6	NPFFR1	pdb	9M0R	2.47	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9GZQ6.pdb	
Q9H1Y3	OPN3	af2			predicted	product/target_screen/structures/raw/Q9H1Y3.pdb	alphafold_db;AF-Q9H1Y3-F1-model_v6.pdb
Q9H228	S1PR5	pdb	7YXA	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9H228.pdb	
Q9H244	P2RY12	pdb	4PXZ	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9H244.pdb	
Q9H255	OR51E2	pdb	8F76	3.10	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9H255.pdb	
Q9H3N8	HRH4	pdb	8YN9	2.30	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9H3N8.pdb	
Q9H461	FZD8	pdb	6NDZ	2.26	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9H461.pdb	
Q9HAR2	ADGRL3	pdb	5AFB	2.16	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9HAR2.pdb	
Q9HB89	NMUR1	pdb	7W56	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9HB89.pdb	
Q9HBW0	LPAR2	pdb	9UVZ	2.99	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9HBW0.pdb	converted_from_mmcif
Q9HBW9	ADGRL4	pdb	9QXL	3.14	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9HBW9.pdb	
Q9HBX8	LGR6	af2			predicted	product/target_screen/structures/raw/Q9HBX8.pdb	alphafold_db;AF-Q9HBX8-F1-model_v6.pdb
Q9HBX9	RXFP1	pdb	7TMW	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9HBX9.pdb	
Q9HC97	GPR35	pdb	8H8J	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9HC97.pdb	
Q9NPB9	ACKR4	af2			predicted	product/target_screen/structures/raw/Q9NPB9.pdb	alphafold_db;AF-Q9NPB9-F1-model_v6.pdb
Q9NPC1	LTB4R2	af2			predicted	product/target_screen/structures/raw/Q9NPC1.pdb	alphafold_db;AF-Q9NPC1-F1-model_v6.pdb
Q9NPG1	FZD3	pdb	8Q7O	1.76	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9NPG1.pdb	
Q9NQ84	GPRC5C	af2			predicted	product/target_screen/structures/raw/Q9NQ84.pdb	alphafold_db;AF-Q9NQ84-F1-model_v6.pdb
Q9NQS5	GPR84	pdb	8J18	2.89	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9NQS5.pdb	
Q9NS75	CYSLTR2	pdb	6RZ6	2.43	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9NS75.pdb	
Q9NYM4	GPR83	af2			predicted	product/target_screen/structures/raw/Q9NYM4.pdb	alphafold_db;AF-Q9NYM4-F1-model_v6.pdb
Q9NYQ6	CELSR1	pdb	7SZ8	2.34	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9NYQ6.pdb	
Q9NYV7	TAS2R16	pdb	9K6L	2.77	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9NYV7.pdb	
Q9NYV8	TAS2R14	pdb	8VY7	2.68	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9NYV8.pdb	converted_from_mmcif
Q9NYW0	TAS2R10	af2			predicted	product/target_screen/structures/raw/Q9NYW0.pdb	alphafold_db;AF-Q9NYW0-F1-model_v6.pdb
Q9NYW4	TAS2R5	af2			predicted	product/target_screen/structures/raw/Q9NYW4.pdb	alphafold_db;AF-Q9NYW4-F1-model_v6.pdb
Q9NYW5	TAS2R4	pdb	25ST	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9NYW5.pdb	
Q9NZD1	GPRC5D	pdb	9IMA	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9NZD1.pdb	
Q9NZH0	GPRC5B	af2			predicted	product/target_screen/structures/raw/Q9NZH0.pdb	alphafold_db;AF-Q9NZH0-F1-model_v6.pdb
Q9P296	C5AR2	pdb	22GK	2.84	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9P296.pdb	
Q9UBS5	GABBR1	pdb	4PAS	1.62	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9UBS5.pdb	
Q9UBY5	LPAR3	af2			predicted	product/target_screen/structures/raw/Q9UBY5.pdb	alphafold_db;AF-Q9UBY5-F1-model_v6.pdb
Q9UHM6	OPN4	af2			predicted	product/target_screen/structures/raw/Q9UHM6.pdb	alphafold_db;AF-Q9UHM6-F1-model_v6.pdb
Q9UHX3	ADGRE2	pdb	2BOU	1.90	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9UHX3.pdb	
Q9UKP6	UTS2R	pdb	9JFK	3.23	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9UKP6.pdb	
Q9ULV1	FZD4	pdb	5BPB	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9ULV1.pdb	
Q9ULW2	FZD10	pdb	7X8T	2.51	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9ULW2.pdb	
Q9UNW8	GPR132	pdb	8HQM	2.95	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9UNW8.pdb	
Q9UP38	FZD1	pdb	8J9O	3.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9UP38.pdb	
Q9Y271	CYSLTR1	pdb	6RZ5	2.53	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9Y271.pdb	
Q9Y2T6	GPR55	pdb	9GE2	2.51	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9Y2T6.pdb	converted_from_mmcif
Q9Y5N1	HRH3	pdb	7F61	2.60	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9Y5N1.pdb	
Q9Y5X5	NPFFR2	pdb	9M1O	2.49	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9Y5X5.pdb	
Q9Y5Y4	PTGDR2	pdb	8XXV	2.33	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q9Y5Y4.pdb	converted_from_mmcif
Q9Y653	ADGRG1	pdb	9S9U	1.92	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q9Y653.pdb	
A4D2G3	OR2A25	af2			predicted	product/target_screen/structures/raw/A4D2G3.pdb	alphafold_db;AF-A4D2G3-F1-model_v6.pdb
A6ND48	OR14I1	af2			predicted	product/target_screen/structures/raw/A6ND48.pdb	alphafold_db;AF-A6ND48-F1-model_v6.pdb
A6NGY5	OR51F1	af2			predicted	product/target_screen/structures/raw/A6NGY5.pdb	alphafold_db;AF-A6NGY5-F1-model_v6.pdb
A6NH00	OR2T8	af2			predicted	product/target_screen/structures/raw/A6NH00.pdb	alphafold_db;AF-A6NH00-F1-model_v6.pdb
A6NND4	OR2AT4	af2			predicted	product/target_screen/structures/raw/A6NND4.pdb	alphafold_db;AF-A6NND4-F1-model_v6.pdb
O60412	OR7C2	af2			predicted	product/target_screen/structures/raw/O60412.pdb	alphafold_db;AF-O60412-F1-model_v6.pdb
O75388	GPR32	af2			predicted	product/target_screen/structures/raw/O75388.pdb	alphafold_db;AF-O75388-F1-model_v6.pdb
O76001	OR2J3	af2			predicted	product/target_screen/structures/raw/O76001.pdb	alphafold_db;AF-O76001-F1-model_v6.pdb
O76002	OR2J2	af2			predicted	product/target_screen/structures/raw/O76002.pdb	alphafold_db;AF-O76002-F1-model_v6.pdb
O76099	OR7C1	af2			predicted	product/target_screen/structures/raw/O76099.pdb	alphafold_db;AF-O76099-F1-model_v6.pdb
O95007	OR6B1	af2			predicted	product/target_screen/structures/raw/O95007.pdb	alphafold_db;AF-O95007-F1-model_v6.pdb
O95222	OR6A2	af2			predicted	product/target_screen/structures/raw/O95222.pdb	alphafold_db;AF-O95222-F1-model_v6.pdb
O95371	OR2C1	af2			predicted	product/target_screen/structures/raw/O95371.pdb	alphafold_db;AF-O95371-F1-model_v6.pdb
O95665	NTSR2	af2			predicted	product/target_screen/structures/raw/O95665.pdb	alphafold_db;AF-O95665-F1-model_v6.pdb
O95800	GPR75	pdb	9XQC	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O95800.pdb	
O95838	GLP2R	pdb	7D68	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O95838.pdb	
O95918	OR2H2	af2			predicted	product/target_screen/structures/raw/O95918.pdb	alphafold_db;AF-O95918-F1-model_v6.pdb
P0C645	OR4E1	af2			predicted	product/target_screen/structures/raw/P0C645.pdb	alphafold_db;AF-P0C645-F1-model_v6.pdb
P0DN77	OPN1MW2	af2			predicted	product/target_screen/structures/raw/P0DN77.pdb	alphafold_db;AF-P0DN77-F1-model_v6.pdb
P0DN78	OPN1MW3	af2			predicted	product/target_screen/structures/raw/P0DN78.pdb	alphafold_db;AF-P0DN78-F1-model_v6.pdb
P30953	OR1E1	af2			predicted	product/target_screen/structures/raw/P30953.pdb	alphafold_db;AF-P30953-F1-model_v6.pdb
P30954	OR10J1	af2			predicted	product/target_screen/structures/raw/P30954.pdb	alphafold_db;AF-P30954-F1-model_v6.pdb
P43116	PTGER2	pdb	7CX2	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P43116.pdb	
P47883	OR3A4P	af2			predicted	product/target_screen/structures/raw/P47883.pdb	alphafold_db;AF-P47883-F1-model_v6.pdb
P47887	OR1E2	af2			predicted	product/target_screen/structures/raw/P47887.pdb	alphafold_db;AF-P47887-F1-model_v6.pdb
P47888	OR3A3	af2			predicted	product/target_screen/structures/raw/P47888.pdb	alphafold_db;AF-P47888-F1-model_v6.pdb
P47890	OR1G1	af2			predicted	product/target_screen/structures/raw/P47890.pdb	alphafold_db;AF-P47890-F1-model_v6.pdb
P47893	OR3A2	af2			predicted	product/target_screen/structures/raw/P47893.pdb	alphafold_db;AF-P47893-F1-model_v6.pdb
P58173	OR2B6	af2			predicted	product/target_screen/structures/raw/P58173.pdb	alphafold_db;AF-P58173-F1-model_v6.pdb
P58182	OR12D2	af2			predicted	product/target_screen/structures/raw/P58182.pdb	alphafold_db;AF-P58182-F1-model_v6.pdb
P59533	TAS2R38	af2			predicted	product/target_screen/structures/raw/P59533.pdb	alphafold_db;AF-P59533-F1-model_v6.pdb
P59534	TAS2R39	af2			predicted	product/target_screen/structures/raw/P59534.pdb	alphafold_db;AF-P59534-F1-model_v6.pdb
P59535	TAS2R40	af2			predicted	product/target_screen/structures/raw/P59535.pdb	alphafold_db;AF-P59535-F1-model_v6.pdb
P59537	TAS2R43	pdb	9OXA	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P59537.pdb	
P59538	TAS2R31	af2			predicted	product/target_screen/structures/raw/P59538.pdb	alphafold_db;AF-P59538-F1-model_v6.pdb
P59540	TAS2R46	pdb	9W0R	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P59540.pdb	
P59543	TAS2R20	af2			predicted	product/target_screen/structures/raw/P59543.pdb	alphafold_db;AF-P59543-F1-model_v6.pdb
P60893	GPR85	af2			predicted	product/target_screen/structures/raw/P60893.pdb	alphafold_db;AF-P60893-F1-model_v6.pdb
Q13304	GPR17	pdb	7Y89	3.02	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q13304.pdb	
Q13606	OR5I1	af2			predicted	product/target_screen/structures/raw/Q13606.pdb	alphafold_db;AF-Q13606-F1-model_v6.pdb
Q13607	OR2F1	af2			predicted	product/target_screen/structures/raw/Q13607.pdb	alphafold_db;AF-Q13607-F1-model_v6.pdb
Q14330	GPR18	af2			predicted	product/target_screen/structures/raw/Q14330.pdb	alphafold_db;AF-Q14330-F1-model_v6.pdb
Q14439	GPR176	af2			predicted	product/target_screen/structures/raw/Q14439.pdb	alphafold_db;AF-Q14439-F1-model_v6.pdb
Q15391	P2RY14	pdb	9J0F	2.76	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q15391.pdb	
Q15612	OR1Q1	af2			predicted	product/target_screen/structures/raw/Q15612.pdb	alphafold_db;AF-Q15612-F1-model_v6.pdb
Q15620	OR8B8	af2			predicted	product/target_screen/structures/raw/Q15620.pdb	alphafold_db;AF-Q15620-F1-model_v6.pdb
Q15760	GPR19	af2			predicted	product/target_screen/structures/raw/Q15760.pdb	alphafold_db;AF-Q15760-F1-model_v6.pdb
Q16538	GPR162	af2			predicted	product/target_screen/structures/raw/Q16538.pdb	alphafold_db;AF-Q16538-F1-model_v6.pdb
Q49SQ1	GPR33	af2			predicted	product/target_screen/structures/raw/Q49SQ1.pdb	alphafold_db;AF-Q49SQ1-F1-model_v6.pdb
Q50KZ9	TAS2R2	af2			predicted	product/target_screen/structures/raw/Q50KZ9.pdb	alphafold_db;AF-Q50KZ9-F1-model_v6.pdb
Q6DWJ6	GPR139	pdb	7VUG	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q6DWJ6.pdb	
Q7RTR8	TAS2R42	af2			predicted	product/target_screen/structures/raw/Q7RTR8.pdb	alphafold_db;AF-Q7RTR8-F1-model_v6.pdb
Q7Z3T1	OR2W3	af2			predicted	product/target_screen/structures/raw/Q7Z3T1.pdb	alphafold_db;AF-Q7Z3T1-F1-model_v6.pdb
Q7Z5H4	VN1R5	af2			predicted	product/target_screen/structures/raw/Q7Z5H4.pdb	alphafold_db;AF-Q7Z5H4-F1-model_v6.pdb
Q7Z5H5	VN1R4	af2			predicted	product/target_screen/structures/raw/Q7Z5H5.pdb	alphafold_db;AF-Q7Z5H5-F1-model_v6.pdb
Q7Z601	GPR142	af2			predicted	product/target_screen/structures/raw/Q7Z601.pdb	alphafold_db;AF-Q7Z601-F1-model_v6.pdb
Q7Z7M1	ADGRD2	af2			predicted	product/target_screen/structures/raw/Q7Z7M1.pdb	alphafold_db;AF-Q7Z7M1-F1-model_v6.pdb
Q86SP6	GPR149	af2			predicted	product/target_screen/structures/raw/Q86SP6.pdb	alphafold_db;AF-Q86SP6-F1-model_v6.pdb
Q8N628	OR2C3	af2			predicted	product/target_screen/structures/raw/Q8N628.pdb	alphafold_db;AF-Q8N628-F1-model_v6.pdb
Q8NDV2	GPR26	af2			predicted	product/target_screen/structures/raw/Q8NDV2.pdb	alphafold_db;AF-Q8NDV2-F1-model_v6.pdb
Q8NGA0	OR7G1	af2			predicted	product/target_screen/structures/raw/Q8NGA0.pdb	alphafold_db;AF-Q8NGA0-F1-model_v6.pdb
Q8NGA4	GPR32P1	af2			predicted	product/target_screen/structures/raw/Q8NGA4.pdb	alphafold_db;AF-Q8NGA4-F1-model_v6.pdb
Q8NGC8	OR11H7	af2			predicted	product/target_screen/structures/raw/Q8NGC8.pdb	alphafold_db;AF-Q8NGC8-F1-model_v6.pdb
Q8NGD0	OR4M1	af2			predicted	product/target_screen/structures/raw/Q8NGD0.pdb	alphafold_db;AF-Q8NGD0-F1-model_v6.pdb
Q8NGE3	OR10P1	af2			predicted	product/target_screen/structures/raw/Q8NGE3.pdb	alphafold_db;AF-Q8NGE3-F1-model_v6.pdb
Q8NGG2	OR5T2	af2			predicted	product/target_screen/structures/raw/Q8NGG2.pdb	alphafold_db;AF-Q8NGG2-F1-model_v6.pdb
Q8NGH7	OR52L1	af2			predicted	product/target_screen/structures/raw/Q8NGH7.pdb	alphafold_db;AF-Q8NGH7-F1-model_v6.pdb
Q8NGI2	OR52N4	af2			predicted	product/target_screen/structures/raw/Q8NGI2.pdb	alphafold_db;AF-Q8NGI2-F1-model_v6.pdb
Q8NGK2	OR52B4	af2			predicted	product/target_screen/structures/raw/Q8NGK2.pdb	alphafold_db;AF-Q8NGK2-F1-model_v6.pdb
Q8NGM9	OR8D4	af2			predicted	product/target_screen/structures/raw/Q8NGM9.pdb	alphafold_db;AF-Q8NGM9-F1-model_v6.pdb
Q8NGN3	OR10G4	af2			predicted	product/target_screen/structures/raw/Q8NGN3.pdb	alphafold_db;AF-Q8NGN3-F1-model_v6.pdb
Q8NGQ1	OR9G4	af2			predicted	product/target_screen/structures/raw/Q8NGQ1.pdb	alphafold_db;AF-Q8NGQ1-F1-model_v6.pdb
Q8NGR2	OR1L6	af2			predicted	product/target_screen/structures/raw/Q8NGR2.pdb	alphafold_db;AF-Q8NGR2-F1-model_v6.pdb
Q8NGR6	OR1B1	af2			predicted	product/target_screen/structures/raw/Q8NGR6.pdb	alphafold_db;AF-Q8NGR6-F1-model_v6.pdb
Q8NGS2	OR1J2	af2			predicted	product/target_screen/structures/raw/Q8NGS2.pdb	alphafold_db;AF-Q8NGS2-F1-model_v6.pdb
Q8NGS8	OR13C5	af2			predicted	product/target_screen/structures/raw/Q8NGS8.pdb	alphafold_db;AF-Q8NGS8-F1-model_v6.pdb
Q8NGV6	OR5H6	af2			predicted	product/target_screen/structures/raw/Q8NGV6.pdb	alphafold_db;AF-Q8NGV6-F1-model_v6.pdb
Q8NGW6	OR6K6	af2			predicted	product/target_screen/structures/raw/Q8NGW6.pdb	alphafold_db;AF-Q8NGW6-F1-model_v6.pdb
Q8NGX3	OR10T2	af2			predicted	product/target_screen/structures/raw/Q8NGX3.pdb	alphafold_db;AF-Q8NGX3-F1-model_v6.pdb
Q8NGY0	OR10X1	af2			predicted	product/target_screen/structures/raw/Q8NGY0.pdb	alphafold_db;AF-Q8NGY0-F1-model_v6.pdb
Q8NGY3	OR6K3	af2			predicted	product/target_screen/structures/raw/Q8NGY3.pdb	alphafold_db;AF-Q8NGY3-F1-model_v6.pdb
Q8NH19	OR10AG1	af2			predicted	product/target_screen/structures/raw/Q8NH19.pdb	alphafold_db;AF-Q8NH19-F1-model_v6.pdb
Q8NH43	OR4L1	af2			predicted	product/target_screen/structures/raw/Q8NH43.pdb	alphafold_db;AF-Q8NH43-F1-model_v6.pdb
Q8NH48	OR5B3	af2			predicted	product/target_screen/structures/raw/Q8NH48.pdb	alphafold_db;AF-Q8NH48-F1-model_v6.pdb
Q8NH59	OR51Q1	af2			predicted	product/target_screen/structures/raw/Q8NH59.pdb	alphafold_db;AF-Q8NH59-F1-model_v6.pdb
Q8NH69	OR5W2	af2			predicted	product/target_screen/structures/raw/Q8NH69.pdb	alphafold_db;AF-Q8NH69-F1-model_v6.pdb
Q8NH85	OR8U3	af2			predicted	product/target_screen/structures/raw/Q8NH85.pdb	alphafold_db;AF-Q8NH85-F1-model_v6.pdb
Q8NH87	OR9G1	af2			predicted	product/target_screen/structures/raw/Q8NH87.pdb	alphafold_db;AF-Q8NH87-F1-model_v6.pdb
Q8NH92	OR1S1	af2			predicted	product/target_screen/structures/raw/Q8NH92.pdb	alphafold_db;AF-Q8NH92-F1-model_v6.pdb
