systematic	common	init_type	n_symbols_in_scf	human_symbols_used	sources
YDR403W	DIT1	random	0		
YDR404C	RPB7	ortholog	1	POLR2G	InParanoid,OMA
YDR405W	MRP20	ortholog	1	MRPL23	InParanoid
YDR406W	PDR15	random	0		
YDR406W-A		random	0		
YDR407C	TRS120	random	0		
YDR408C	ADE8	random	0		
YDR409W	SIZ1	random	0		
YDR410C	STE14	ortholog	1	ICMT	InParanoid,OMA
YDR411C	DFM1	ortholog	3	DERL1,DERL2,DERL3	InParanoid
YDR412W	RRP17	random	0		
YDR413C		random	0		
YDR414C	ERD1	random	0		
YDR415C		random	0		
YDR416W	SYF1	ortholog	1	XAB2	InParanoid,OMA
YDR417C		random	0		
YDR418W	RPL12B	ortholog	1	RPL12	InParanoid,OMA
YDR419W	RAD30	ortholog	1	POLH	InParanoid,OMA
YDR420W	HKR1	random	0		
YDR421W	ARO80	random	0		
YDR422C	SIP1	random	0		
YDR423C	CAD1	random	0		
YDR424C	DYN2	ortholog	2	DYNLL1,DYNLL2	InParanoid,OMA
YDR425W	SNX41	random	0		
YDR426C		random	0		
YDR427W	RPN9	ortholog	1	PSMD13	InParanoid,OMA
YDR428C	BNA7	random	0		
YDR429C	TIF35	ortholog	1	EIF3G	InParanoid,OMA
YDR430C	CYM1	ortholog	1	PITRM1	InParanoid,OMA
YDR431W		random	0		
YDR432W	NPL3	ortholog	4	RBMXL2,SRSF4,SRSF5,SRSF6	OMA,OrthoDB
YDR433W		random	0		
YDR434W	GPI17	ortholog	1	PIGS	InParanoid,OMA
YDR435C	PPM1	ortholog	1	LCMT1	InParanoid,OMA
YDR436W	PPZ2	random	0		
YDR437W	GPI19	ortholog	1	PIGP	InParanoid
YDR438W	THI74	ortholog	4	RAB7A,RAB7B,RAB9A,SLC35F5	InParanoid,OMA,OrthoDB
YDR439W	LRS4	random	0		
YDR440W	DOT1	random	0		
YDR441C	APT2	ortholog	1	APRT	InParanoid
YDR442W		random	0		
YDR443C	SSN2	random	0		
YDR444W		random	0		
YDR445C		random	0		
YDR446W	ECM11	random	0		
YDR447C	RPS17B	ortholog	1	RPS17	InParanoid,OMA
YDR448W	ADA2	ortholog	2	TADA2A,TADA2B	InParanoid,OMA
YDR449C	UTP6	random	0		
YDR450W	RPS18A	ortholog	1	RPS18	InParanoid,OMA
YDR451C	YHP1	ortholog	10	ALX1,ALX3,DRGX,OTP,PITX1,PITX3,RAX,RAX2,SHOX,SHOX2	InParanoid
YDR452W	PPN1	random	0		
YDR453C	TSA2	ortholog	3	PRDX1,PRDX2,PRDX4	InParanoid,OMA
YDR454C	GUK1	ortholog	1	GUK1	InParanoid,OMA
YDR455C		random	0		
YDR456W	NHX1	ortholog	3	SLC9A6,SLC9A7,SLC9A9	InParanoid,OMA
YDR457W	TOM1	ortholog	1	HUWE1	InParanoid
YDR458C	HEH2	random	0		
YDR459C	PFA5	ortholog	3	ZDHHC15,ZDHHC2,ZDHHC20	OMA
YDR460W	TFB3	ortholog	1	MNAT1	InParanoid
YDR461C-A		random	0		
YDR461W	MFA1	random	0		
YDR462W	MRPL28	ortholog	1	MRPL40	InParanoid
YDR463W	STP1	random	0		
YDR464C-A		random	0		
YDR464W	SPP41	random	0		
YDR465C	RMT2	random	0		
YDR466W	PKH3	random	0		
YDR467C		random	0		
YDR468C	TLG1	ortholog	2	STX10,STX6	InParanoid
YDR469W	SDC1	random	0		
YDR470C	UGO1	random	0		
YDR471W	RPL27B	ortholog	1	RPL27	InParanoid,OMA
YDR472W	TRS31	ortholog	1	TRAPPC5	InParanoid
YDR473C	PRP3	ortholog	1	PRPF3	InParanoid
YDR475C	JIP4	random	0		
YDR476C		random	0		
YDR477W	SNF1	ortholog	2	PRKAA1,PRKAA2	InParanoid
YDR478W	SNM1	random	0		
YDR479C	PEX29	random	0		
YDR480W	DIG2	random	0		
YDR481C	PHO8	ortholog	4	ALPG,ALPI,ALPL,ALPP	InParanoid
YDR482C	CWC21	random	0		
YDR483W	KRE2	random	0		
YDR484W	VPS52	ortholog	1	VPS52	InParanoid,OMA
YDR485C	VPS72	random	0		
YDR486C	VPS60	ortholog	1	CHMP5	OMA
YDR487C	RIB3	random	0		
YDR488C	PAC11	random	0		
YDR489W	SLD5	ortholog	1	GINS4	InParanoid,OMA
YDR490C	PKH1	random	0		
YDR491C		random	0		
YDR492W	IZH1	ortholog	2	ADIPOR1,ADIPOR2	InParanoid,OMA
YDR493W	MZM1	random	0		
YDR494W	RSM28	random	0		
YDR495C	VPS3	random	0		
YDR496C	PUF6	ortholog	1	PUM3	InParanoid
YDR497C	ITR1	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	InParanoid,OMA
YDR498C	SEC20	random	0		
YDR499W	LCD1	random	0		
YDR500C	RPL37B	ortholog	1	RPL37	InParanoid,OMA
YDR501W	PLM2	random	0		
YDR502C	SAM2	ortholog	2	MAT1A,MAT2A	InParanoid,OMA
YDR503C	LPP1	random	0		
YDR504C	SPG3	random	0		
YDR505C	PSP1	random	0		
YDR506C	GMC1	random	0		
YDR507C	GIN4	ortholog	1	TAOK1	OMA
YDR508C	GNP1	ortholog	2	SLC7A14,SLC7A4	InParanoid
YDR509W		random	0		
YDR510C-A		random	0		
YDR510W	SMT3	ortholog	3	SUMO1,SUMO2,SUMO3	InParanoid,OMA
YDR511W	SDH7	ortholog	1	SDHAF3	InParanoid,OMA
YDR512C	EMI1	random	0		
YDR513W	GRX2	ortholog	2	GLRX,GLRX2	InParanoid,OMA
YDR514C		random	0		
YDR515W	SLF1	random	0		
YDR516C	EMI2	random	0		
YDR517W	GRH1	random	0		
YDR518W	EUG1	ortholog	5	P4HB,PDIA2,PDIA3,PDIA4,PDILT	InParanoid,OMA
YDR519W	FPR2	ortholog	1	FKBP2	InParanoid,OMA
YDR520C	URC2	random	0		
YDR521W		random	0		
YDR522C	SPS2	random	0		
YDR523C	SPS1	ortholog	5	STK24,STK25,STK26,STK3,STK4	InParanoid
YDR524C	AGE1	random	0		
YDR524C-A		random	0		
YDR524C-B		random	0		
YDR524W-C		random	0		
YDR525W	API2	random	0		
YDR525W-A	SNA2	random	0		
YDR526C		random	0		
YDR527W	RBA50	random	0		
YDR528W	HLR1	random	0		
YDR529C	QCR7	ortholog	1	UQCRB	InParanoid,OMA
YDR530C	APA2	random	0		
YDR531W	CAB1	ortholog	4	ABHD5,PANK1,PANK2,PANK3	InParanoid,OrthoDB
YDR532C	KRE28	random	0		
YDR533C	HSP31	random	0		
YDR534C	FIT1	random	0		
YDR535C		random	0		
YDR536W	STL1	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YDR537C		random	0		
YDR538W	PAD1	random	0		
YDR539W	FDC1	random	0		
YDR540C	IRC4	random	0		
YDR541C		random	0		
YDR542W	PAU10	random	0		
YDR543C		random	0		
YDR544C		random	0		
YDR545C-A		random	0		
YDR545W	YRF1-1	random	0		
YEL001C	IRC22	random	0		
YEL002C	WBP1	ortholog	1	DDOST	InParanoid,OMA
YEL003W	GIM4	ortholog	1	PFDN2	InParanoid,OMA
YEL004W	YEA4	ortholog	1	SLC35B4	InParanoid,OMA
YEL005C	VAB2	random	0		
YEL006W	YEA6	ortholog	5	SLC25A17,SLC25A32,SLC25A33,SLC25A36,SLC25A41	InParanoid,OMA
YEL007W	MIT1	random	0		
YEL008C-A		random	0		
YEL008W		random	0		
YEL009C	GCN4	random	0		
YEL009C-A		random	0		
YEL010W		random	0		
YEL011W	GLC3	ortholog	1	GBE1	InParanoid,OMA
YEL012W	UBC8	ortholog	1	UBE2H	InParanoid,OMA
YEL013W	VAC8	ortholog	5	KPNA1,KPNA2,KPNA5,KPNA6,KPNA7	OrthoDB
YEL014C		random	0		
YEL015W	EDC3	random	0		
YEL016C	NPP2	ortholog	4	ENPP4,ENPP5,ENPP6,ENPP7	InParanoid,OMA
YEL017C-A	PMP2	random	0		
YEL017W	GTT3	random	0		
YEL018C-A		random	0		
YEL018W	EAF5	random	0		
YEL019C	MMS21	random	0		
YEL020C	PXP1	ortholog	1	HACL1	InParanoid,OMA
YEL020C-B		random	0		
YEL020W-A	TIM9	ortholog	1	TIMM9	InParanoid,OMA
YEL021W	URA3	ortholog	1	UMPS	InParanoid
YEL022W	GEA2	ortholog	1	GBF1	InParanoid
YEL023C		random	0		
YEL024W	RIP1	ortholog	1	UQCRFS1	InParanoid
YEL025C		random	0		
YEL026W	SNU13	ortholog	1	SNU13	InParanoid,OMA
YEL027W	VMA3	ortholog	1	ATP6V0C	InParanoid,OMA
YEL028W		random	0		
YEL029C	BUD16	ortholog	1	PDXK	InParanoid,OMA
YEL030C-A		random	0		
YEL030W	ECM10	ortholog	1	HSPA9	InParanoid,OMA
YEL031W	SPF1	ortholog	1	ATP13A1	InParanoid,OMA
YEL032C-A		random	0		
YEL032W	MCM3	ortholog	1	MCM3	InParanoid,OMA
YEL033W	MTC7	random	0		
YEL034C-A		random	0		
YEL034W	HYP2	ortholog	3	EIF5A,EIF5A2,EIF5AL1	InParanoid,OMA
YEL035C	UTR5	random	0		
YEL036C	ANP1	random	0		
YEL037C	RAD23	ortholog	2	RAD23A,RAD23B	InParanoid,OMA
YEL038W	UTR4	ortholog	1	ENOPH1	InParanoid,OMA
YEL039C	CYC7	ortholog	1	CYCS	InParanoid,OMA
YEL040W	UTR2	random	0		
YEL041W	YEF1	ortholog	1	NADK	InParanoid
YEL042W	GDA1	ortholog	2	ENTPD5,ENTPD6	InParanoid,OMA
YEL043W	YEF3	random	0		
YEL044W	IES6	random	0		
YEL045C		random	0		
YEL046C	GLY1	random	0		
YEL047C	FRD1	random	0		
YEL048C	TCA17	random	0		
YEL049W	PAU2	random	0		
YEL050C	RML2	ortholog	1	MRPL2	InParanoid
YEL050W-A		random	0		
YEL051W	VMA8	ortholog	1	ATP6V1D	InParanoid,OMA
YEL052W	AFG1	ortholog	1	AFG1L	InParanoid,OMA
YEL053C	MAK10	ortholog	1	NAA35	InParanoid,OMA
YEL053W-A		random	0		
YEL054C	RPL12A	ortholog	1	RPL12	InParanoid,OMA
YEL055C	POL5	random	0		
YEL056W	HAT2	ortholog	2	RBBP4,RBBP7	InParanoid,OMA
YEL057C	SDD1	random	0		
YEL058W	PCM1	ortholog	1	PGM3	InParanoid,OMA
YEL059C-A	SOM1	random	0		
YEL059W	HHY1	random	0		
YEL060C	PRB1	random	0		
YEL061C	CIN8	random	0		
YEL062W	NPR2	ortholog	1	NPRL2	InParanoid
YEL063C	CAN1	ortholog	2	SLC7A14,SLC7A4	InParanoid
YEL064C	AVT2	ortholog	1	SLC38A11	InParanoid,OMA
YEL065W	SIT1	random	0		
YEL066W	HPA3	random	0		
YEL067C		random	0		
YEL068C		random	0		
YEL069C	HXT13	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YEL070W	DSF1	random	0		
YEL071W	DLD3	ortholog	1	D2HGDH	InParanoid,OMA
YEL072W	RMD6	random	0		
YEL073C		random	0		
YEL074W		random	0		
YEL075C		random	0		
YEL075W-A		random	0		
YEL076C		random	0		
YEL076C-A		random	0		
YEL077C		random	0		
YEL077W-A		random	0		
YER001W	MNN1	random	0		
YER002W	NOP16	random	0		
YER003C	PMI40	ortholog	1	MPI	InParanoid,OMA
YER004W	FMP52	ortholog	1	HTATIP2	InParanoid,OMA
YER005W	YND1	ortholog	2	ENTPD4,ENTPD7	InParanoid,OMA
YER006C-A		random	0		
YER006W	NUG1	ortholog	2	GNL3,GNL3L	InParanoid,OMA
YER007C-A	TMA20	ortholog	2	MCTS1,MCTS2	InParanoid,OMA
YER007W	PAC2	ortholog	1	TBCE	InParanoid
YER008C	SEC3	random	0		
YER009W	NTF2	ortholog	1	NUTF2	InParanoid,OMA
YER010C		random	0		
YER011W	TIR1	random	0		
YER012W	PRE1	ortholog	1	PSMB2	InParanoid,OMA
YER013W	PRP22	ortholog	8	DHX16,DHX33,DHX34,DHX35,DHX38,DHX40,DHX8,DQX1	InParanoid,OMA,OrthoDB
YER014C-A	BUD25	random	0		
YER014W	HEM14	ortholog	1	PPOX	InParanoid,OMA
YER015W	FAA2	ortholog	3	ACSL1,ACSL5,ACSL6	InParanoid,OMA
YER016W	BIM1	ortholog	4	EBF3,MAPRE1,MAPRE2,MAPRE3	InParanoid,OMA,OrthoDB
YER017C	AFG3	ortholog	1	AFG3L2	InParanoid,OMA
YER018C	SPC25	random	0		
YER019C-A	SBH2	random	0		
YER019W	ISC1	ortholog	1	SMPD2	InParanoid
YER020W	GPA2	ortholog	11	GNA11,GNA14,GNAI1,GNAI2,GNAI3,GNAO1,GNAQ,GNAT1,GNAT2,GNAT3,GNAZ	InParanoid,OMA
YER021W	RPN3	ortholog	1	PSMD3	InParanoid,OMA
YER022W	SRB4	random	0		
YER023C-A		random	0		
YER023W	PRO3	ortholog	3	PYCR1,PYCR2,PYCR3	InParanoid,OMA
YER024W	YAT2	random	0		
YER025W	GCD11	ortholog	2	EIF2S3,EIF2S3B	InParanoid,OMA
YER026C	CHO1	random	0		
YER027C	GAL83	ortholog	2	PRKAB1,PRKAB2	InParanoid
YER028C	MIG3	random	0		
YER029C	SMB1	random	0		
YER030W	CHZ1	random	0		
YER031C	YPT31	ortholog	35	RAB10,RAB11A,RAB11B,RAB12,RAB13,RAB14,RAB15,RAB18,RAB19,RAB1A,RAB1B,RAB24,RAB25,RAB26,RAB27B,RAB2A,RAB2B,RAB30,RAB31,RAB35,RAB37,RAB39B,RAB3A,RAB3B,RAB3C,RAB3D,RAB42,RAB43,RAB4A,RAB4B,RAB5A,RAB5B,RAB5C,RAB8A,RAB8B	InParanoid,OMA,OrthoDB
YER032W	FIR1	random	0		
YER033C	ZRG8	random	0		
YER034W		random	0		
YER035W	EDC2	random	0		
YER036C	ARB1	ortholog	1	ABCF2	InParanoid,OMA
YER037W	PHM8	random	0		
YER038C	KRE29	random	0		
YER038W-A	FMP49	random	0		
YER039C	HVG1	random	0		InParanoid
YER039C-A		random	0		
YER040W	GLN3	random	0		
YER041W	YEN1	random	0		
YER042W	MXR1	ortholog	1	MSRA	InParanoid,OMA
YER043C	SAH1	ortholog	1	AHCY	InParanoid,OMA
YER044C	ERG28	ortholog	1	ERG28	InParanoid,OMA
YER044C-A	MEI4	random	0		
YER045C	ACA1	random	0		
YER046W	SPO73	random	0		
YER046W-A		random	0		
YER047C	SAP1	random	0		
YER048C	CAJ1	ortholog	3	DNAJB8,DNAJC8,SEC63	OrthoDB
YER048W-A	ISD11	ortholog	1	LYRM4	InParanoid,OMA
YER049W	TPA1	ortholog	1	OGFOD1	InParanoid
YER050C	RSM18	random	0		
YER051W	JHD1	random	0		
YER052C	HOM3	random	0		
YER053C	PIC2	ortholog	1	SLC25A3	InParanoid
YER053C-A		random	0		
YER054C	GIP2	random	0		
YER055C	HIS1	random	0		
YER056C	FCY2	random	0		
YER056C-A	RPL34A	ortholog	1	RPL34	InParanoid
YER057C	HMF1	ortholog	1	RIDA	InParanoid,OMA
YER058W	PET117	random	0		
YER059W	PCL6	random	0		
YER060W	FCY21	random	0		
YER060W-A	FCY22	random	0		
YER061C	CEM1	ortholog	1	OXSM	InParanoid,OMA
YER062C	GPP2	random	0		
YER063W	THO1	random	0		
YER064C	VHR2	random	0		
YER065C	ICL1	random	0		
YER066C-A		random	0		
YER066W	RRT13	random	0		
YER067C-A		random	0		
YER067W	RGI1	random	0		
YER068C-A		random	0		
YER068W	MOT2	ortholog	1	CNOT4	InParanoid
YER069W	ARG5,6	ortholog	1	NAGS	InParanoid
YER070W	RNR1	ortholog	1	RRM1	InParanoid,OMA
YER071C	TDA2	random	0		
YER072W	VTC1	random	0		
YER073W	ALD5	ortholog	7	ALDH1A1,ALDH1A2,ALDH1A3,ALDH1B1,ALDH2,ALDH5A1,ALDH8A1	InParanoid,OMA,OrthoDB
YER074W	RPS24A	ortholog	1	RPS24	InParanoid,OMA
YER074W-A	YOS1	ortholog	1	IER3IP1	InParanoid,OMA
YER075C	PTP3	random	0		
YER076C		random	0		
YER076W-A		random	0		
YER077C	MRX1	random	0		
YER078C	ICP55	ortholog	1	XPNPEP3	InParanoid,OMA
YER078W-A		random	0		
YER079C-A		random	0		
YER079W		random	0		
YER080W	AIM9	random	0		
YER081W	SER3	ortholog	1	PHGDH	InParanoid
YER082C	UTP7	ortholog	1	WDR46	InParanoid,OMA
YER083C	GET2	random	0		
YER084W		random	0		
YER084W-A		random	0		
YER085C		random	0		
YER086W	ILV1	random	0		
YER087C-A		random	0		
YER087C-B	SBH1	random	0		
YER087W	AIM10	ortholog	1	PARS2	InParanoid,OMA
YER088C	DOT6	random	0		
YER088C-A		random	0		
YER088W-B		random	0		
YER089C	PTC2	ortholog	1	PPM1G	InParanoid
YER090C-A		random	0		
YER090W	TRP2	random	0		
YER091C	MET6	random	0		
YER091C-A		random	0		
YER092W	IES5	random	0		
YER093C	TSC11	ortholog	1	RICTOR	InParanoid
YER093C-A	AIM11	random	0		
YER094C	PUP3	ortholog	1	PSMB3	InParanoid,OMA,OrthoDB
YER095W	RAD51	ortholog	1	RAD51	InParanoid,OMA
YER096W	SHC1	random	0		
YER097W		random	0		
YER098W	UBP9	ortholog	2	USP12,USP46	InParanoid
YER099C	PRS2	ortholog	3	PRPS1,PRPS1L1,PRPS2	InParanoid,OMA
YER100W	UBC6	ortholog	1	UBE2J2	InParanoid
YER101C	AST2	random	0		
YER102W	RPS8B	ortholog	1	RPS8	InParanoid,OMA
YER103W	SSA4	ortholog	6	HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8	InParanoid,OMA
YER104W	RTT105	random	0		
YER105C	NUP157	ortholog	1	NUP155	InParanoid,OMA
YER106W	MAM1	random	0		
YER107C	GLE2	ortholog	1	RAE1	InParanoid,OMA
YER107W-A		random	0		
YER109C	FLO8	random	0		
YER110C	KAP123	ortholog	1	IPO4	InParanoid,OMA
YER111C	SWI4	random	0		
YER112W	LSM4	random	0		
YER113C	TMN3	random	0		
YER114C	BOI2	random	0		
YER115C	SPR6	random	0		
YER116C	SLX8	random	0		
YER117W	RPL23B	ortholog	1	RPL23	InParanoid,OMA
YER118C	SHO1	random	0		
YER119C	AVT6	ortholog	5	SLC38A2,SLC38A3,SLC38A6,SLC38A7,SLC38A8	InParanoid,OMA
YER119C-A		random	0		
YER120W	SCS2	ortholog	2	VAPA,VAPB	InParanoid
YER121W		random	0		
YER122C	GLO3	ortholog	2	ARFGAP2,ARFGAP3	InParanoid
YER123W	YCK3	ortholog	3	CSNK1G1,CSNK1G2,CSNK1G3	InParanoid,OrthoDB
YER124C	DSE1	random	0		
YER125W	RSP5	ortholog	4	ITCH,NEDD4,NEDD4L,WWP2	InParanoid,OMA
YER126C	NSA2	ortholog	1	NSA2	InParanoid,OMA
YER127W	LCP5	ortholog	1	NGDN	InParanoid
YER128W	VFA1	random	0		
YER129W	SAK1	random	0		
YER130C		random	0		
YER131W	RPS26B	ortholog	1	RPS26	InParanoid,OMA
YER132C	PMD1	random	0		
YER133W	GLC7	ortholog	3	PPP1CA,PPP1CB,PPP1CC	InParanoid,OMA,OrthoDB
YER133W-A		random	0		
YER134C		ortholog	1	MDP1	InParanoid,OMA
YER135C		random	0		
YER136W	GDI1	ortholog	2	GDI1,GDI2	InParanoid,OMA
YER137C		random	0		
YER137C-A	TY1A-ER1	random	0		
YER137W-A		random	0		
YER138C	TY1B-ER1	random	0		
YER138W-A		random	0		
YER139C	RTR1	random	0		
YER140W	EMP65	ortholog	1	TAPT1	InParanoid
YER141W	COX15	ortholog	1	COX15	InParanoid,OMA
YER142C	MAG1	random	0		
YER143W	DDI1	ortholog	2	DDI1,DDI2	InParanoid
YER144C	UBP5	random	0		
YER145C	FTR1	random	0		
YER145C-A		random	0		
YER146W	LSM5	ortholog	1	LSM5	InParanoid,OMA
YER147C	SCC4	random	0		
YER147C-A		random	0		
YER148W	SPT15	ortholog	2	TBP,TBPL1	InParanoid,OMA
YER148W-A		random	0		
YER149C	PEA2	random	0		
YER150W	SPI1	random	0		
YER151C	UBP3	ortholog	1	USP10	InParanoid
YER152C		random	0		
YER152W-A		random	0		
YER153C	PET122	random	0		
YER154W	OXA1	ortholog	1	OXA1L	InParanoid,OMA
YER155C	BEM2	random	0		
YER156C		ortholog	1	MYG1	InParanoid,OMA
YER157W	COG3	ortholog	1	COG3	InParanoid,OMA
YER158C		random	0		
YER158W-A		random	0		
YER159C	BUR6	random	0		
YER159C-A	TY1A-ER2	random	0		
YER160C	TY1B-ER2	random	0		
YER161C	SPT2	random	0		
YER162C	RAD4	random	0		
YER163C	GCG1	ortholog	2	CHAC1,CHAC2	InParanoid,OMA
YER164W	CHD1	ortholog	2	CHD1,CHD2	InParanoid,OMA
YER165C-A		random	0		
YER165W	PAB1	ortholog	6	PABPC1,PABPC1L,PABPC3,PABPC4,PABPC4L,PABPC5	InParanoid,OMA
YER166W	DNF1	ortholog	2	ATP10D,ATP8B1	OMA
YER167W	BCK2	random	0		
YER168C	CCA1	random	0		
YER169W	RPH1	random	0		
YER170W	ADK2	ortholog	2	AK3,AK4	InParanoid,OMA
YER171W	RAD3	ortholog	1	ERCC2	InParanoid,OMA
YER172C	BRR2	ortholog	1	SNRNP200	InParanoid,OMA
YER172C-A		random	0		
YER173W	RAD24	random	0		
YER174C	GRX4	ortholog	1	GLRX3	InParanoid,OMA
YER175C	TMT1	random	0		
YER175W-A		random	0		
YER176W	ECM32	random	0		
YER177W	BMH1	ortholog	5	SFN,YWHAE,YWHAH,YWHAQ,YWHAZ	InParanoid,OMA,OrthoDB
YER178W	PDA1	ortholog	2	PDHA1,PDHA2	InParanoid,OMA
YER179W	DMC1	ortholog	1	DMC1	InParanoid,OMA
YER180C	ISC10	random	0		
YER180C-A	SLO1	random	0		
YER181C		random	0		
YER182W	FMP10	random	0		
YER183C	FAU1	ortholog	1	MTHFS	InParanoid,OMA
YER184C	TOG1	random	0		
YER185W	PUG1	random	0		
YER186C		random	0		
YER187W		random	0		
YER188C-A		random	0		
YER188W		random	0		
YER189W		random	0		
YER190C-A		random	0		
YER190C-B		random	0		
YER190W	YRF1-2	random	0		
YFL001W	DEG1	ortholog	1	PUS3	InParanoid,OMA
YFL002C	SPB4	ortholog	1	DDX55	InParanoid,OMA
YFL002W-A	TY2B-F	random	0		
YFL002W-B	TY2A-F	random	0		
YFL003C	MSH4	ortholog	1	MSH4	InParanoid,OMA
YFL004W	VTC2	random	0		
YFL005W	SEC4	ortholog	34	RAB10,RAB11B,RAB12,RAB13,RAB14,RAB15,RAB18,RAB19,RAB1A,RAB1B,RAB24,RAB25,RAB26,RAB27B,RAB2A,RAB2B,RAB30,RAB31,RAB35,RAB37,RAB39B,RAB3A,RAB3B,RAB3C,RAB3D,RAB42,RAB43,RAB4A,RAB4B,RAB5A,RAB5B,RAB5C,RAB8A,RAB8B	InParanoid,OMA,OrthoDB
YFL007W	BLM10	ortholog	1	PSME4	InParanoid,OMA
YFL008W	SMC1	ortholog	2	SMC1A,SMC1B	InParanoid,OMA
YFL009W	CDC4	random	0		
YFL010C	WWM1	random	0		
YFL010W-A	AUA1	random	0		
YFL011W	HXT10	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YFL012W		random	0		
YFL012W-A		random	0		
YFL013C	IES1	random	0		
YFL013W-A		random	0		
YFL014W	HSP12	random	0		
YFL015C		random	0		
YFL015W-A		random	0		
YFL016C	MDJ1	ortholog	1	DNAJA3	InParanoid,OMA
YFL017C	GNA1	ortholog	2	GNPNAT1,SATL1	InParanoid,OMA,OrthoDB
YFL017W-A	SMX2	ortholog	1	SNRPG	InParanoid,OMA
YFL018C	LPD1	ortholog	1	DLD	InParanoid,OMA
YFL019C		random	0		
YFL020C	PAU5	random	0		
YFL021C-A		random	0		
YFL021W	GAT1	random	0		
YFL022C	FRS2	ortholog	1	FARSA	InParanoid,OMA
YFL023W	BUD27	random	0		
YFL024C	EPL1	random	0		
YFL025C	BST1	random	0		
YFL026W	STE2	random	0		
YFL027C	GYP8	random	0		
YFL028C	CAF16	random	0		
YFL029C	CAK1	random	0		
YFL030W	AGX1	ortholog	1	AGXT	InParanoid,OMA
YFL031C-A		random	0		
YFL031W	HAC1	random	0		
YFL032W		random	0		
YFL033C	RIM15	random	0		
YFL034C-A	RPL22B	ortholog	2	RPL22,RPL22L1	InParanoid,OMA
YFL034C-B	MOB2	random	0		
YFL034W	MIL1	random	0		
YFL036W	RPO41	random	0		
YFL037W	TUB2	ortholog	12	TUBA4A,TUBA8,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B	InParanoid,OMA,OrthoDB
YFL038C	YPT1	ortholog	34	RAB10,RAB11B,RAB12,RAB13,RAB14,RAB15,RAB18,RAB19,RAB1A,RAB1B,RAB24,RAB25,RAB26,RAB27B,RAB2A,RAB2B,RAB30,RAB31,RAB35,RAB37,RAB39B,RAB3A,RAB3B,RAB3C,RAB3D,RAB42,RAB43,RAB4A,RAB4B,RAB5A,RAB5B,RAB5C,RAB8A,RAB8B	InParanoid,OMA,OrthoDB
YFL039C	ACT1	ortholog	8	ACTA1,ACTA2,ACTB,ACTBL2,ACTC1,ACTG1,ACTG2,ACTR2	InParanoid,OMA,OrthoDB
YFL040W		random	0		
YFL041W	FET5	random	0		
YFL041W-A		random	0		
YFL042C	LAM5	ortholog	3	GRAMD1A,GRAMD1B,GRAMD1C	InParanoid,OMA
YFL044C	OTU1	ortholog	1	YOD1	InParanoid,OMA
YFL045C	SEC53	ortholog	2	PMM1,PMM2	InParanoid,OMA
YFL046W	FMP32	ortholog	2	CCDC90B,MCUR1	InParanoid,OMA
YFL047W	RGD2	random	0		
YFL048C	EMP47	random	0		
YFL049W	SWP82	random	0		
YFL050C	ALR2	random	0		
YFL051C		random	0		
YFL052W	ZNF1	random	0		
YFL053W	DAK2	ortholog	1	TKFC	InParanoid,OMA
YFL054C	AQY3	random	0		
YFL055W	AGP3	ortholog	2	SLC7A14,SLC7A4	InParanoid,OrthoDB
YFL056C	AAD6	random	0		
YFL057C		random	0		
YFL058W	THI5	random	0		
YFL059W	SNZ3	random	0		
YFL060C	SNO3	random	0		
YFL061W	DDI2	random	0		
YFL062W	COS4	random	0		
YFL063W		random	0		
YFL064C		random	0		
YFL065C		random	0		
YFL066C		random	0		
YFL067W		random	0		
YFL068W		random	0		
YFR001W	LOC1	random	0		
YFR002W	NIC96	ortholog	1	NUP93	InParanoid,OMA
YFR003C	YPI1	random	0		
YFR004W	RPN11	ortholog	1	PSMD14	InParanoid,OMA
YFR005C	SAD1	ortholog	1	USP39	InParanoid,OMA
YFR006W		ortholog	1	PEPD	InParanoid,OMA
YFR007W	YFH7	random	0		
YFR008W	FAR7	random	0		
YFR009W	GCN20	ortholog	1	ABCF3	InParanoid,OMA
YFR009W-A		random	0		
YFR010W	UBP6	ortholog	1	USP14	InParanoid,OMA
YFR010W-A		random	0		
YFR011C	MIC19	random	0		
YFR012W	DCV1	random	0		
YFR012W-A		random	0		
YFR013W	IOC3	random	0		
YFR014C	CMK1	ortholog	8	CAMK1,CAMK1D,CAMK1G,CAMK4,CAMKV,PHKG2,PNCK,PSKH1	InParanoid,OMA,OrthoDB
