target_id	target_family	membership_sources	uniprot_entries	gene_aliases	protein_name	protein_length	keywords	is_calibration_control	ranking_bonus
GPER1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q99527	CEPR;CMKRL2;DRY12;GPER;GPR30	G protein-coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Flow-induced endothelial G protein-coupled receptor 1) (FEG-1) (G protein-coupled receptor 30) (GPCR-Br) (IL8-related receptor DRY12) (Lymphocyte-derived G protein-coupled receptor) (LYGPR) (Membrane estrogen receptor) (mER)	375		False	0.0
GPHRA	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GPHRA_HUMAN	GPR89;GPR89A;SH120;CGI-13;UNQ192/PRO218	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)		Alternative splicing;Glycoprotein;Golgi apparatus;Ion channel;Ion transport;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	False	0.0
GPHRB	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GPHRB_HUMAN	GPHR;GPR89;GPR89B;GPR89C;SH120;HSPC201	Golgi pH regulator B (Protein GPR89B)		Glycoprotein;Golgi apparatus;Ion channel;Ion transport;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	False	0.0
GPR101	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q96P66		Probable G protein-coupled receptor 101	508		False	0.0
GPR119	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8TDV5		Glucose-dependent insulinotropic receptor (G protein-coupled receptor 119)	335		False	0.0
GPR12	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P47775		G protein-coupled receptor 12	334		False	0.0
GPR132	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9UNW8	G2A	Probable G protein-coupled receptor 132 (G2 accumulation protein)	380		False	0.0
GPR135	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZ08		G protein-coupled receptor 135	494		False	0.0
GPR139	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q6DWJ6	GPRG1;PGR3	Probable G protein-coupled receptor 139 (G protein-coupled receptor PGR3) (G(q)-coupled orphan receptor GPRg1)	353		False	0.0
GPR141	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q7Z602	PGR13	Probable G protein-coupled receptor 141 (G protein-coupled receptor PGR13)	305		False	0.0
GPR142	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q7Z601	GPRG1B;PGR2	G protein-coupled receptor 142 (G protein-coupled receptor PGR2)	462		False	0.0
GPR143	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P51810	OA1	G protein-coupled receptor 143 (Ocular albinism type 1 protein)	404		False	0.0
GPR146	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q96CH1	PGR8	G protein-coupled receptor 146 (G protein-coupled receptor PGR8)	333		False	0.0
GPR148	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8TDV2	BTR;PGR6	Probable G protein-coupled receptor 148 (Brain and testis restricted GPCR) (G protein-coupled receptor PGR6)	347		False	0.0
GPR149	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q86SP6	PGR10	Probable G protein-coupled receptor 149 (G protein-coupled receptor PGR10)	731		False	0.0
GPR15	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P49685		G protein-coupled receptor 15 (Brother of Bonzo) (BoB)	360		False	0.0
GPR150	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8NGU9		Probable G protein-coupled receptor 150	434		False	0.0
GPR151	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8TDV0	GALR4;GALRL;PGR7	G protein-coupled receptor 151 (G protein-coupled receptor PGR7) (GPCR-2037) (Galanin receptor 4) (Galanin-receptor-like protein) (GalRL)	419		False	0.0
GPR152	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8TDT2	PGR5	Probable G protein-coupled receptor 152 (G protein-coupled receptor PGR5)	470		False	0.0
GPR153	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q6NV75	PGR1	Probable G protein-coupled receptor 153 (G protein-coupled receptor PGR1)	609		False	0.0
GPR156	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8NFN8	GABABL;PGR28	Probable G protein-coupled receptor 156 (G protein-coupled receptor PGR28) (GABAB-related G protein-coupled receptor)	814		False	0.0
GPR157	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q5UAW9		G protein-coupled receptor 157	335		False	0.0
GPR158	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q5T848	KIAA1136	Metabotropic glycine receptor (mGlyR) (G protein-coupled receptor 158)	1215		False	0.0
GPR160	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9UJ42	GPCR150	Probable G protein-coupled receptor 160 (G protein-coupled receptor GPCR1) (hGPCR1)	338		False	0.0
GPR161	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8N6U8		G protein-coupled receptor 161 (G protein-coupled receptor RE2)	529		False	0.0
GPR162	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q16538	GRCA	Probable G protein-coupled receptor 162 (Gene-rich cluster gene A protein)	588		False	0.0
GPR17	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q13304		Uracil nucleotide/cysteinyl leukotriene receptor (UDP/CysLT receptor) (G protein-coupled receptor 17) (P2Y-like receptor) (R12)	367		False	0.0
GPR171	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O14626	H963	G protein-coupled receptor 171 (G protein-coupled receptor H963)	319		False	0.0
GPR173	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NS66	SREB3	Probable G protein-coupled receptor 173 (Super conserved receptor expressed in brain 3)	373		False	0.0
GPR174	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BXC1	FKSG79;GPCR17	Probable G protein-coupled receptor 174	333		False	0.0
GPR176	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q14439		G protein-coupled receptor 176 (HB-954)	515		False	0.0
GPR179	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q6PRD1	GPR158L;GPR158L1	Probable G protein-coupled receptor 179 (Probable G protein-coupled receptor 158-like 1) (GPR158-like)	2367		False	0.0
GPR18	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q14330	GPCRW	N-arachidonyl glycine receptor (NAGly receptor) (G protein-coupled receptor 18)	331		False	0.0
GPR183	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P32249	EBI2	G protein-coupled receptor 183 (Epstein-Barr virus-induced G protein-coupled receptor 2) (EBI2) (EBV-induced G protein-coupled receptor 2) (hEBI2)	361		False	0.0
GPR19	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q15760		Probable G protein-coupled receptor 19 (GPR-NGA)	415		False	0.0
GPR20	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q99678		G protein-coupled receptor 20	358		False	0.0
GPR21	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q99679		Probable G protein-coupled receptor 21	349		False	0.0
GPR22	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q99680		G protein-coupled receptor 22	433		False	0.0
GPR25	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O00155		C-X-C chemokine receptor GPR25 (G protein-coupled receptor 25)	361		False	0.0
GPR26	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8NDV2		G protein-coupled receptor 26	337		False	0.0
GPR27	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NS67	SREB1	Probable G protein-coupled receptor 27 (Super conserved receptor expressed in brain 1)	375		False	0.0
GPR3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P46089	ACCA	G protein-coupled receptor 3 (ACCA orphan receptor)	330		False	0.0
GPR31	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O00270		12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G protein-coupled receptor 31) (GPR31/12-HETER)	319		False	0.0
GPR32	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O75388		Probable G protein-coupled receptor 32	356		False	0.0
GPR32P1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8NGA4		Putative G protein-coupled receptor GPR32P1 (G protein-coupled 32 pseudogene) (G protein-coupled 32 pseudogene 1) (G protein-coupled receptor GPCR39) (hGPCR39)	272		False	0.0
GPR33	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q49SQ1		Probable G protein-coupled receptor 33	333		False	0.0
GPR34	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9UPC5		Probable G protein-coupled receptor 34	381		False	0.0
GPR35	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9HC97		G protein-coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor)	309		False	0.0
GPR37	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O15354		Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G protein-coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	613		False	0.0
GPR37L1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O60883	ETBRLP2	G protein-coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	481		False	0.0
GPR39	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O43194		G protein-coupled receptor 39	453		False	0.0
GPR4	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P46093		G protein-coupled receptor 4 (hGPR4) (G protein-coupled receptor 6C.l) (GPR6C.l)	362		False	0.0
GPR42	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O15529	GPR42P	G protein-coupled receptor 42	346		False	0.0
GPR50	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q13585		Melatonin-related receptor (G protein-coupled receptor 50) (H9) [Cleaved into: C-terminal domain]	617		False	0.0
GPR52	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9Y2T5		G protein-coupled receptor 52	361		False	0.0
GPR55	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9Y2T6		G protein-coupled receptor 55	319		False	0.0
GPR6	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P46095		G protein-coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6)	362		False	0.0
GPR61	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BZJ8	BALGR;GPCR3	G protein-coupled receptor 61 (Biogenic amine receptor-like G protein-coupled receptor)	451		False	0.0
GPR62	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BZJ7		G protein-coupled receptor 62 (G protein-coupled receptor GPCR8) (hGPCR8) (G protein-coupled receptor KPG_005)	368		False	0.0
GPR63	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BZJ6	PSP24B	Probable G protein-coupled receptor 63 (PSP24-2) (PSP24-beta)	419		False	0.0
GPR65	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IYL9	TDAG8	G protein-coupled receptor 65 (Psychosine receptor) (T-cell death-associated gene 8 protein)	337		False	0.0
GPR68	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q15743	OGR1	G protein-coupled receptor 68 (G protein-coupled receptor 12A) (GPR12A) (Ovarian cancer G protein-coupled receptor 1) (OGR-1)	365		False	0.0
GPR75	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O95800		Probable G protein-coupled receptor 75	540		False	0.0
GPR78	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q96P69	UNQ5925/PRO19818	G protein-coupled receptor 78	363		False	0.0
GPR82	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q96P67		Probable G protein-coupled receptor 82	336		False	0.0
GPR83	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NYM4	GPR72;JP05;KIAA1540	G protein-coupled receptor 83 (G protein-coupled receptor 72)	423		False	0.0
GPR84	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NQS5	EX33	G protein-coupled receptor 84 (Inflammation-related G protein-coupled receptor EX33)	396		False	0.0
GPR85	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P60893	SREB2	Probable G protein-coupled receptor 85 (Super conserved receptor expressed in brain 2)	370		False	0.0
GPR87	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BY21	GPR95;FKSG78	G protein-coupled receptor 87 (G protein-coupled receptor 95)	358		False	0.0
GPR88	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9GZN0	STRG	G protein-coupled receptor 88 (Striatum-specific G protein-coupled receptor)	384		False	0.0
GPRC5A	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8NFJ5	GPCR5A;RAI3;RAIG1	Retinoic acid-induced protein 3 (G protein-coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1)	357		False	0.0
GPRC5B	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NZH0	RAIG2	G protein-coupled receptor family C group 5 member B (A-69G12.1) (Retinoic acid-induced gene 2 protein) (RAIG-2)	403		False	0.0
GPRC5C	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NQ84	RAIG3;PSEC0087	G protein-coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3)	441		False	0.0
GPRC5D	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NZD1		G protein-coupled receptor family C group 5 member D	345		False	0.0
GPRC6A	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q5T6X5		G protein-coupled receptor family C group 6 member A (hGPRC6A) (G protein-coupled receptor GPCR33) (hGPCR33)	926		False	0.0
GRIA1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIA1_HUMAN	GLUA1;GLUH1;GLUR1	Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1)		3D-structure;Alternative splicing;Cell membrane;Cell projection;Disease variant;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Ligand-gated ion channel;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRIA2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIA2_HUMAN	GluA2;GLUR2	Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2)		3D-structure;Alternative splicing;Autism spectrum disorder;Cell membrane;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Ligand-gated ion channel;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;RNA editing;Signal;Synapse;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	False	0.0
GRIA3	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIA3_HUMAN	GluA3;GLUR3;GLURC	Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3)		Alternative splicing;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Ligand-gated ion channel;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRIA4	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIA4_HUMAN	GluA4;GLUR4	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4)		Alternative splicing;Cell membrane;Cell projection;Disease variant;Disulfide bond;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Ligand-gated ion channel;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRID1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRID1_HUMAN	KIAA1220	Glutamate receptor ionotropic, delta-1 (GluD1) (GluR delta-1 subunit)		3D-structure;Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRID2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRID2_HUMAN	GLURD2	Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)		3D-structure;Alternative splicing;Calcium;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Metal-binding;Neurodegeneration;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRIK1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIK1_HUMAN	GLUR5	Glutamate receptor ionotropic, kainate 1 (GluK1) (Excitatory amino acid receptor 3) (EAA3) (Glutamate receptor 5) (GluR-5) (GluR5)		3D-structure;Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;RNA editing;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRIK2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIK2_HUMAN	GLUR6	Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)		3D-structure;Alternative splicing;Cell membrane;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Isopeptide bond;Ligand-gated ion channel;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;RNA editing;Signal;Synapse;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	False	0.0
GRIK3	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIK3_HUMAN	GLUR7	Glutamate receptor ionotropic, kainate 3 (GluK3) (Excitatory amino acid receptor 5) (EAA5) (Glutamate receptor 7) (GluR-7) (GluR7)		Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Isopeptide bond;Ligand-gated ion channel;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;RNA editing;Signal;Synapse;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	False	0.0
GRIK4	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIK4_HUMAN	GRIK	Glutamate receptor ionotropic, kainate 4 (GluK4) (Excitatory amino acid receptor 1) (EAA1) (Glutamate receptor KA-1) (KA1)		Cell membrane;Cell projection;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRIK5	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	GRIK5_HUMAN	GRIK2	Glutamate receptor ionotropic, kainate 5 (GluK5) (Excitatory amino acid receptor 2) (EAA2) (Glutamate receptor KA-2) (KA2)		Alternative splicing;Cell membrane;Cell projection;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
GRIN1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	NMDZ1_HUMAN	NMDAR1	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1) (hNR1)		3D-structure;Alternative splicing;Calcium;Cell membrane;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Isopeptide bond;Ligand-gated ion channel;Magnesium;Membrane;Metal-binding;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport;Ubl conjugation;Zinc	False	0.0
GRIN2A	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	NMDE1_HUMAN	NMDAR2A	Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)		3D-structure;Alternative splicing;Calcium;Cell membrane;Cell projection;Chromosomal rearrangement;Cytoplasmic vesicle;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Magnesium;Membrane;Metal-binding;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport;Zinc	False	0.0
GRIN2B	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	NMDE2_HUMAN	NMDAR2B	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)		3D-structure;Calcium;Cell membrane;Cell projection;Chromosomal rearrangement;Cytoplasm;Cytoskeleton;Disease variant;Disulfide bond;Endosome;Epilepsy;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Ligand-gated ion channel;Lysosome;Magnesium;Membrane;Metal-binding;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport;Zinc	False	0.0
GRIN2C	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	NMDE3_HUMAN	NMDAR2C	Glutamate receptor ionotropic, NMDA 2C (GluN2C) (Glutamate [NMDA] receptor subunit epsilon-3) (N-methyl D-aspartate receptor subtype 2C) (NMDAR2C) (NR2C)		3D-structure;Calcium;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Magnesium;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
